cookie_info_header;"This website is using cookies"
cookie_info_body;"We use cookies to ensure that we give you the best experience on our website. If you continue using the site, we\'ll assume that you are happy to receive all cookies on this website."
cookie_info_continue;"Continue"
cookie_info_learn_more;"Learn more"
cookie_info_url;"http://www.wimagguc.com/?cookie-policy"

pagination_first_page;"First"
pagination_previous_page;"Previous"
pagination_next_page;"Next"
pagination_last_page;"Last"
